rank,item_name,item_category,purchase_sessions,units_purchased,item_revenue_usd
1,Google Zip Hoodie F/C,Home/Apparel/Men's / Unisex/,237,258,13048
2,Google Crewneck Sweatshirt Navy,Home/Apparel/Men's / Unisex/,204,218,9893
3,Super G Unisex Joggers,Men's / Unisex,254,292,9106
4,Google Badge Heavyweight Pullover Black,Men's / Unisex,163,185,8683
5,Google Men's Tech Fleece Grey,Home/Apparel/Men's / Unisex/,104,115,8476
6,Google Crewneck Sweatshirt Green,Home/Apparel/,157,168,7627
7,Google Sherpa Zip Hoodie Charcoal,Home/Apparel/Men's / Unisex/,97,105,5847
8,Google Men's Puff Jacket Black,Home/Apparel/Men's / Unisex/,57,59,5640
9,Google Men's Tech Fleece Vest Charcoal,Home/Apparel/Men's / Unisex/,74,81,5360
10,Google Canteen Bottle Black,Lifestyle/,118,262,5122
