week_start,sessions,revenue_usd,session_conversion_rate,revenue_week_over_week_change,conversion_week_over_week_point_change,governed_orders,zero_revenue_orders
2020-11-02,24991,19521,0.009963586891,26.18802228,0.005011205939,249,0
2020-11-09,22508,23428,0.01515016883,0.2001434353,0.005186581938,352,2
2020-11-16,25914,26549,0.01443235317,0.1332166638,-0.000717815661,403,22
2020-11-23,27780,40146,0.01853851692,0.5121473502,0.004106163750,559,26
2020-11-30,31088,42725,0.01897838394,0.06424052209,0.000439867024,638,28
2020-12-07,38729,59222,0.01993338325,0.3861205383,0.000954999311,857,32
2020-12-14,33411,46822,0.01643171411,-0.2093816487,-0.003501669147,678,15
2020-12-21,22083,14502,0.01055110266,-0.6902738029,-0.005880611448,254,8
2020-12-28,20444,10235,0.006750146742,-0.2942352779,-0.003800955916,147,5
2021-01-04,29029,9378,0.005580626270,-0.08373229116,-0.001169520472,169,8
2021-01-11,27707,12942,0.008192875447,0.3800383877,0.002612249176,250,19
2021-01-18,27478,26742,0.01364728146,1.066295781,0.005454406015,389,28
2021-01-25,26342,5178,0.01176827879,-0.8063719991,-0.001879002667,321,218
